Cases by Race/Ethnicity - All Age Groups
Date generated: Mon Nov 22 2021 17:52:16 GMT-1000 (Hawaii-Aleutian Standard Time)
Race/Ethnicity,Percent of cases,Count of cases,Percent of US population
Hispanic/Latino,25.1,6537980,18.45
American Indian / Alaska Native Non-Hispanic,1.1,279880,0.74
Asian Non-Hispanic,3,771007,5.76
Black Non-Hispanic,11.5,3002352,12.54
Native Hawaiian / Other Pacific Islander Non-Hispanic,0.3,72294,0.182
White Non-Hispanic,53.6,13950192,60.11
Multiple/Other Non-Hispanic,5.4,1400751,2.22
