Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf
11/10/2021,45,MN,9056350,427700,3391880,5236770,0,160584,189539,208841,983977,7590767,7557409,7052351,2115564,314438,2769013,4505043,2273,134597,158168,162629,229857,7581397,3729991,66.1,3704985,77.5,3444554,79.4,907319,98.6,3476925,61.7,3468763,72.6,3226541,74.4,861473,93.6,307518,1236868,1931815,724,307504,1236857,1923678,724,307016,1234645,1684178,702,49237,361980,450045,211,664674,19.1,664106,20.6,530401,30.8,392896,45.6,199158,459072,6337,107
11/10/2021,45,OH,17275115,817400,6827520,9630195,0,147788,172739,189606,844204,13471402,13455138,12717977,4185462,531267,5156896,7766039,17200,115248,134542,139588,204536,13336718,6594885,56.4,6579035,65.8,6193154,68,1820923,89,6109783,52.3,6109668,61.1,5765734,63.3,1734602,84.8,504437,2252430,3348239,4677,504426,2252423,3348142,4677,504213,2251911,3005027,4583,87771,783780,860729,2322,999401,16.4,998231,17.3,833821,24.9,630345,36.3,353665,632982,12555,199
11/10/2021,45,NV,4523710,225800,1616540,2681370,0,146866,172542,189473,912090,3745932,3743291,3512472,966907,162106,1310421,2272902,503,121615,142776,147118,194952,3713997,1979406,64.3,1976766,75.4,1847747,77.4,458576,92.5,1648755,53.5,1648714,62.9,1550128,64.9,394426,79.5,157941,566904,923867,43,157937,566900,923834,43,157897,566804,825386,41,24652,183279,186470,25,194387,11.8,194260,12.5,161690,20.2,120595,30.6,65918,126562,1907,0
11/10/2021,45,AL,7504060,347000,3332780,3824280,0,153045,179228,196705,883000,4994724,4994234,4743815,1550223,147735,2189222,2657568,199,101867,119283,124350,182414,5086499,2701228,55.1,2700777,64.5,2558833,67.1,761791,89.6,2218371,45.2,2218279,53,2109698,55.3,657852,77.4,146922,944024,1126943,482,146913,944013,1126871,482,146839,943581,1018797,481,34995,348548,273990,319,287703,13,287301,13.6,245098,19.4,182205,27.7,120788,163551,3355,9
11/10/2021,45,IN,9578780,511200,3546740,5520840,0,142283,167900,185483,882233,7414096,7406130,6981410,2244667,268882,2701375,4417971,25868,110129,129817,135187,206740,7394246,3654788,54.3,3646824,63.9,3422859,66.3,964341,88.8,3375048,50.1,3374813,59.2,3180399,61.6,921776,84.9,260659,1198463,1908354,7572,260637,1198448,1908156,7572,260400,1198154,1714358,7487,29528,451628,436930,3690,495196,14.7,494612,15.6,421771,23.3,321128,34.8,153751,336406,4755,284
11/10/2021,45,HI,2689050,109600,1005860,1573590,0,189922,222032,240953,1001700,2011677,2004157,1880940,563169,53320,644817,1219508,94032,142080,165481,168542,209787,2035840,1128870,79.7,1122131,92.7,1047389,93.9,288476,99.9,852101,60.2,850579,70.2,800847,71.8,235884,87.9,53738,273573,506650,18140,53702,273522,505226,18129,53573,272964,456187,18123,10294,97015,127158,1417,91026,10.7,90895,11.3,71965,16.4,52618,22.3,17873,72704,449,0
11/10/2021,45,NH,2457020,143900,941940,1371180,0,180702,204996,222464,967849,1981531,1979123,1851602,562547,97280,752191,1132000,60,145732,165124,167648,221594,1979275,1082143,79.6,1079999,90.1,1020162,92.4,331950,99.9,862125,63.4,861888,71.9,811788,73.5,228016,89.8,73056,328084,460919,66,73030,327979,460813,66,73000,327827,410899,62,14997,95589,117397,33,25051,2.9,25019,3.1,20511,4.4,14875,6.5,6721,18127,198,5
11/10/2021,45,CO,9358475,426400,3617540,5314535,0,162509,189594,208002,1110910,8008825,7972844,7445021,1878791,292315,3120282,4590282,5946,139073,161522,165474,223025,7981462,3950776,68.6,3923201,79.5,3645420,81,797624,94.7,3580787,62.2,3572608,72.4,3323887,73.9,732955,87,281788,1343526,1953779,1694,281761,1343504,1945652,1691,280579,1339841,1701833,1634,25198,349981,357169,607,629882,17.6,629058,18.9,471296,30.5,333411,45.5,239217,384015,6587,63
11/10/2021,45,AZ,11197660,531400,4440300,6225960,0,153841,180431,198594,855676,9031636,9029423,8427145,2711520,309482,3599978,5104938,17238,124083,145494,149458,207202,8874183,4503839,61.9,4501755,72.5,4179957,74.1,1200479,91.7,3904725,53.6,3904325,62.9,3638181,64.5,1058474,80.9,296337,1503555,2099868,4965,296096,1503530,2099735,4964,295910,1502940,1834427,4904,47164,513493,495135,2682,493565,12.6,492576,13.5,407781,20.6,308460,29.1,156651,333153,3544,217
11/10/2021,45,ND,1094830,47500,435240,612090,0,143667,171806,188150,913538,839075,836850,794427,247050,34105,327337,477329,304,110106,131323,136525,206141,825540,425280,55.8,423583,66.5,400953,68.9,113459,94.7,365703,48,365326,57.3,346371,59.5,97451,81.3,32860,137226,195614,3,32856,137221,195246,3,32719,137026,176623,3,4159,46571,46721,0,65055,17.8,65009,18.8,52058,28,37992,39,22879,41608,568,0
