Deaths by Race/Ethnicity - All Age Groups
Date generated: Fri Nov 19 2021 16:20:56 GMT-1000 (Hawaii-Aleutian Standard Time)
Race/Ethnicity,Percent of deaths,Count of deaths,Percent of US population
Hispanic/Latino,17.6,97389,18.45
American Indian / Alaska Native Non-Hispanic,1.1,6185,0.74
Asian Non-Hispanic,3.5,19175,5.76
Black Non-Hispanic,13.7,75828,12.54
Native Hawaiian / Other Pacific Islander Non-Hispanic,0.2,1258,0.182
White Non-Hispanic,60,331692,60.11
Multiple/Other Non-Hispanic,3.9,21602,2.22
